State,ElectoralVotes,WhoWon?
AK,3,Trump
AL,9,Turmp
AR,10,Trump
AZ,11,Trump
CA,55,Clinton
CO,9,Clinton
CT,7,Clinton
DC,3,Clinton
DE,3,Clinton
FL,29,Trump
GA,16,Trump
HI,4,Clinton
IA,6,Trump
ID,4,Trump
IL,20,Clinton
IN,11,Trump
KS,6,Trump
KY,8,Trump
LA,8,Trump
MA,11,Clinton
MD,10,Clinton
ME,3,Clinton
ME-2,1,Trump
MI,16,Trump
MN,10,Clinton
MO,10,Trump
MS,6,Trump
MT,3,Trump
NC,15,Trump
ND,3,Trump
NE,5,Trump
NH,4,Clinton
NJ,14,Clinton
NM,5,Clinton
NV,6,Clinton
NY,29,Clinton
OH,18,Trump
OK,7,Trump
OR,7,Clinton
PA,20,Trump
RI,4,Clinton
SC,9,Trump
SD,3,Trump
TN,11,Trump
TX,38,Trump
UT,6,Trump
VA,13,Clinton
VT,3,Clinton
WA,12,Clinton
WI,10,Trump
WV,5,Trump
WY,3,Trump